66 26   
15 28 68
27 24 26
73 39 46
20 68 56
7 36 59
26 56 39
11 24 12
35 9 16
24 25 9
39 40 13
23 50 29
4 32 61
48 49 30
66 42 20
68 18 38
70 8 32
30 69 73
23 62 71
21 5 32
25 43 60
47 67 50
63 64 72
50 35 57
24 60 28
19 66 71
37 63 7
37 40 25
12 24 9
19 44 30
17 50 55
9 24 10
68 17 64
64 5 17
5 61 20
50 12 73
45 44 35
50 3 34
3 30 50
62 13 23
1 30 5
18 30 58
15 40 47
52 55 32
18 10 60
56 64 49
20 31 39
70 10 35
49 9 50
69 50 25
44 35 65
63 25 6
68 50 21
24 44 49
53 8 7
67 30 32
21 20 11
54 10 51
8 27 70
63 67 39
67 23 45
24 59 15
62 14 50
31 25 13
17 43 55
35 36 39
17 71 69
29 21 45
63 38 24
56 14 38
66 11 72
63 10 46
17 8 56
6 20 44
52 2 24
42 15 63
40 44 30
40 11 13
47 22 31
41 56 58
66 39 6
68 31 14
29 8 64
32 64 39
12 1 67
63 67 17
18 62 51
6 1 71
50 23 26
59 4 51
5 64 32
40 50 71
47 23 68
24 9 23
59 17 58
51 46 67
53 5 18
25 34 71
26 25 39
38 48 62
10 6 50
56 17 60
46 63 40
63 28 53
38 9 58
13 56 16
17 29 47
55 23 3
67 13 9
51 54 72
59 24 10
53 38 32
